Case Number,Country,Date,Year,Type,Activity,Injury,Fatal
2017.04.17.a,AUSTRALIA,17-Apr-2017,2017,Unprovoked,Surfing,FATAL,Y
2016.06.05.a,AUSTRALIA,05-Jun-2016,2016,Unprovoked,Diving,FATAL,Y
2016.05.31,AUSTRALIA,31-May-2016,2016,Unprovoked,Surfing,FATAL,Y
2015.07.25,AUSTRALIA,25-Jul-2015,2015,Unprovoked,Scallop diving on hookah,FATAL,Y
2015.02.09,AUSTRALIA,09-Feb-2015,2015,Unprovoked,Surfing,FATAL,Y
2014.12.29.a,AUSTRALIA,29-Dec-2014,2014,Unprovoked,Spearfishing,FATAL,Y
2014.12.15,AUSTRALIA,15-Dec-2014,2014,Unprovoked,Spearfishing,FATAL,Y
2014.09.09,AUSTRALIA,09-Sep-2014,2014,Unprovoked,Swimming,FATAL,Y
2014.04.03,AUSTRALIA,03-Apr-2014,2014,Unprovoked,Swimming,FATAL,Y
2014.02.08,AUSTRALIA,08-Feb-2014,2014,Unprovoked,Spearfishing / Free diving,FATAL,Y
2013.11.30,AUSTRALIA,30-Nov-2013,2013,Unprovoked,Body boarding,FATAL,Y
2013.11.23.a,AUSTRALIA,23-Nov-2013,2013,Unprovoked,Surfing,FATAL,Y
2012.07.14,AUSTRALIA,14-Jul-2012,2012,Unprovoked,Surfing,FATAL,Y
2012.03.31,AUSTRALIA,31-Mar-2012,2012,Unprovoked,Scuba diving,FATAL,Y
2011.10.22,AUSTRALIA,22-Oct-2011,2011,Unprovoked,Diving,FATAL,Y
2011.10.09,AUSTRALIA,09-Oct-2011,2011,Unprovoked,Swimming,FATAL,Y
2011.09.04.a,AUSTRALIA,04-Sep-2011,2011,Unprovoked,Body boarding,FATAL,Y
2011.02.17,AUSTRALIA,17-Feb-2011,2011,Unprovoked,Diving for abalone,FATAL,Y
2010.08.17,AUSTRALIA,17-Aug-2010,2010,Unprovoked,Surfing,FATAL,Y
2008.12.27.a,AUSTRALIA,27-Dec-2008,2008,Unprovoked,Snorkeling,FATAL,Y
2008.04.08,AUSTRALIA,08-Apr-2008,2008,Unprovoked,Body boarding,FATAL,Y
2006.01.07,AUSTRALIA,07-Jan-2006,2006,Unprovoked,Swimming,FATAL,Y
2005.08.24.b,AUSTRALIA,24-Aug-2005,2005,Unprovoked,Scuba diving,FATAL,Y
